taz,geog_name,district,lat_1,lon_1
200,King County,North Seattle-Shoreline,47.51978,-122.138064
201,King County,North Seattle-Shoreline,47.51978,-122.138064
202,King County,North Seattle-Shoreline,47.51978,-122.138064
203,King County,North Seattle-Shoreline,47.51978,-122.138064
204,King County,North Seattle-Shoreline,47.51978,-122.138064
205,King County,North Seattle-Shoreline,47.51978,-122.138064
206,King County,North Seattle-Shoreline,47.51978,-122.138064
207,King County,North Seattle-Shoreline,47.51978,-122.138064
208,King County,North Seattle-Shoreline,47.51978,-122.138064
209,King County,North Seattle-Shoreline,47.51978,-122.138064
210,King County,North Seattle-Shoreline,47.51978,-122.138064
211,King County,North Seattle-Shoreline,47.51978,-122.138064
212,King County,North Seattle-Shoreline,47.51978,-122.138064
213,King County,North Seattle-Shoreline,47.51978,-122.138064
214,King County,North Seattle-Shoreline,47.51978,-122.138064
215,King County,North Seattle-Shoreline,47.51978,-122.138064
216,King County,North Seattle-Shoreline,47.51978,-122.138064
217,King County,North Seattle-Shoreline,47.51978,-122.138064
218,King County,North Seattle-Shoreline,47.51978,-122.138064
219,King County,North Seattle-Shoreline,47.51978,-122.138064
220,King County,North Seattle-Shoreline,47.51978,-122.138064
221,King County,North Seattle-Shoreline,47.51978,-122.138064
222,King County,North Seattle-Shoreline,47.51978,-122.138064
223,King County,North Seattle-Shoreline,47.51978,-122.138064
224,King County,North Seattle-Shoreline,47.51978,-122.138064
225,King County,North Seattle-Shoreline,47.51978,-122.138064
226,King County,North Seattle-Shoreline,47.51978,-122.138064
227,King County,North Seattle-Shoreline,47.51978,-122.138064
228,King County,North Seattle-Shoreline,47.51978,-122.138064
229,King County,North Seattle-Shoreline,47.51978,-122.138064
230,King County,North Seattle-Shoreline,47.51978,-122.138064
231,King County,North Seattle-Shoreline,47.51978,-122.138064
232,King County,North Seattle-Shoreline,47.51978,-122.138064
233,King County,North Seattle-Shoreline,47.51978,-122.138064
234,King County,North Seattle-Shoreline,47.51978,-122.138064
