id,Operator,RouteNumber,Mode,Description,Code
59,1,MK012,b,MK012c,MK
60,1,MK012,b,MK012d,MK
61,1,MK012,b,MK012e,MK
62,1,MK012,b,MK012f,MK
63,1,MK013,b,MK013a,MK
64,1,MK013,b,MK013b,MK
65,1,MK013,b,MK013c,MK
66,1,MK013,b,MK013d,MK
67,1,MK014,b,MK014a,MK
68,1,MK014,b,MK014b,MK
69,1,MK014,b,MK014c,MK
70,1,MK014,b,MK014d,MK
71,1,MK014,b,MK014e,MK
72,1,MK014,b,MK014f,MK
73,1,MK014,b,MK014g,MK
74,1,MK014,b,MK014h,MK
75,1,MK014,b,MK014i,MK
76,1,MK015,b,MK015a,MK
77,1,MK015,b,MK015b,MK
78,1,MK015,b,MK015c,MK
79,1,MK015,b,MK015d,MK
80,1,MK015,b,MK015e,MK
81,1,MK016,b,MK016a,MK
82,1,MK016,b,MK016b,MK
83,1,MK016,b,MK016c,MK
84,1,MK017,b,MK017a,MK
85,1,MK017,b,MK017b,MK
86,1,MK017,b,MK017c,MK
87,1,MK017,b,MK017d,MK
88,1,MK017,b,MK017e,MK
89,1,MK017,b,MK017f,MK
90,1,MK018,b,MK018a,MK
91,1,MK018,b,MK018b,MK
92,1,MK018,b,MK018c,MK
93,1,MK018,b,MK018d,MK
94,1,MK018,b,MK018e,MK
95,1,MK019,b,MK019a,MK
96,1,MK019,b,MK019b,MK
97,1,MK021,b,MK021a,MK
98,1,MK021,b,MK021b,MK
99,1,MK021,b,MK021c,MK
100,1,MK022,b,MK022a,MK
101,1,MK022,b,MK022b,MK
102,1,MK023,b,MK023a,MK
103,1,MK023,b,MK023b,MK
104,1,MK023,b,MK023c,MK
105,1,MK024,b,MK024a,MK
106,1,MK024,b,MK024b,MK
107,1,MK024,b,MK024c,MK
108,1,MK024,b,MK024d,MK
109,1,MK024,b,MK024e,MK
110,1,MK025,b,MK025a,MK
111,1,MK025,b,MK025b,MK
112,1,MK025,b,MK025c,MK
113,1,MK026,b,MK026a,MK
114,1,MK026,b,MK026b,MK
115,1,MK026,b,MK026c,MK
116,1,MK026,b,MK026d,MK
117,1,MK027,b,MK027a,MK
118,1,MK027,b,MK027b,MK
119,1,MK027,b,MK027c,MK
120,1,MK028,b,MK028a,MK
121,1,MK028,b,MK028b,MK
122,1,MK028,b,MK028c,MK
123,1,MK028,b,MK028d,MK
124,1,MK028,b,MK028e,MK
125,1,MK028,b,MK028f,MK
126,1,MK028,b,MK028g,MK
127,1,MK028,b,MK028h,MK
128,1,MK028,b,MK028i,MK
129,1,MK028,b,MK028j,MK
130,1,MK028,b,MK028x,MK
131,1,MK028,b,MK028x,MK
132,1,MK030,b,MK030a,MK
133,1,MK030,b,MK030b,MK
134,1,MK031,b,MK031a,MK
135,1,MK031,b,MK031b,MK
136,1,MK031,b,MK031c,MK
137,1,MK033,b,MK033a,MK
138,1,MK033,b,MK033b,MK
139,1,MK033,b,MK033c,MK
140,1,MK034,b,MK034a,MK
141,1,MK035,b,MK035a,MK
142,1,MK036,b,MK036a,MK
143,1,MK036,b,MK036b,MK
144,1,MK036,b,MK036c,MK
145,1,MK036,b,MK036d,MK
146,1,MK036,b,MK036e,MK
147,1,MK036,b,MK036f,MK
148,1,MK036,b,MK036g,MK
149,1,MK037,b,MK037a,MK
150,1,MK038,b,MK038a,MK
151,1,MK038,b,MK038b,MK
152,1,MK039,b,MK039a,MK
153,1,MK039,b,MK039b,MK
154,1,MK039,b,MK039c,MK
155,1,MK041,b,MK041a,MK
156,1,MK041,b,MK041b,MK
157,1,MK041,b,MK041c,MK
158,1,MK041,b,MK041d,MK
159,1,MK041,b,MK041e,MK
160,1,MK042,b,MK042a,MK
161,1,MK042,b,MK042b,MK
162,1,MK042,b,MK042c,MK
163,1,MK043,b,MK043a,MK
164,1,MK043,b,MK043b,MK
165,1,MK043,b,MK043c,MK
166,1,MK043,b,MK043d,MK
167,1,MK043,b,MK043e,MK
168,1,MK043,b,MK043f,MK
169,1,MK043,b,MK043g,MK
170,1,MK044,b,MK044a,MK
171,1,MK044,b,MK044b,MK
172,1,MK044,b,MK044c,MK
173,1,MK044,b,MK044d,MK
174,1,MK045,b,MK045a,MK
175,1,MK046,b,MK046a,MK
176,1,MK046,b,MK046b,MK
