taz_p,rg_proposed
1019,Core
1020,Core
1021,Core
1022,Core
1023,Core
1024,Core
1025,Core
1026,Core
1027,Core
1028,Core
1029,Core
1030,Core
1031,Core
1032,Core
1033,HCT
1034,HCT
1035,HCT
1036,CitiesTowns
1037,HCT
1038,HCT
1039,HCT
1040,HCT
1041,HCT
1042,HCT
1043,Core
1044,Core
1045,Core
1046,Core
1047,Core
1048,Core
1049,Core
1050,Core
1051,Core
1052,Core
1053,Core
1054,Core
1055,Core
1056,Core
1057,UU
1058,Core
1059,Core
1060,Core
1061,Core
1062,HCT
1063,Core
1064,HCT
1065,HCT
1066,HCT
1067,HCT
1068,HCT
1069,HCT
1070,HCT
1071,Core
1072,Core
1073,Core
1074,Core
1075,Core
1076,HCT
1077,HCT
1078,Core
1079,Core
1080,Core
1081,Core
1082,HCT
1083,Core
1084,Core
1085,Core
1086,Core
1087,Core
1088,Core
1089,Core
1090,Core
1091,Core
1092,Core
1093,Core
1094,HCT
1095,HCT
1096,Core
1097,Core
1098,Core
1099,Core
1100,Core
1101,HCT
1102,HCT
1103,Core
1104,Core
1105,Core
1106,Core
1107,Core
1108,Core
1109,Core
1110,Core
1111,Core
1112,Core
1113,Core
1114,Core
1115,Core
1116,Core
1117,Core
1118,Core
1119,Core
1120,Core
1121,Core
1122,Core
1123,Core
1124,Core
1125,Core
1126,Core
1127,Core
1128,Core
1129,Core
1130,HCT
1131,HCT
1132,HCT
1133,HCT
1134,Core
1135,Core
1136,Core
1137,Core
1138,Core
1139,Core
1140,Core
1141,Core
1142,Core
1143,Core
1144,Core
1145,Core
1146,Core
1147,Core
1148,Core
1149,Core
1150,UU
1151,HCT
1152,HCT
1153,HCT
1154,UU
1155,UU
1156,CitiesTowns
1157,CitiesTowns
1158,Core
1159,Core
1160,Core
1161,Core
1162,CitiesTowns
1163,CitiesTowns
1164,CitiesTowns
1165,CitiesTowns
1166,Core
1167,Core
1168,Core
1169,Core
1170,Core
1171,Rural
1172,Core
1173,Core
1174,Core
1175,Core
1176,Core
1177,Core
1178,Core
1179,Core
1180,Core
1181,Core
1182,Core
1183,Core
1184,Core
1185,Core
1186,Core
1187,Core
1188,Core
1189,Core
1190,Core
1191,Core
1192,Core
1193,Core
1194,Core
1195,Core
1196,Core
1197,Core
1198,Core
1199,Core
1200,Core
1201,Core
1202,Core
1203,Core
1204,Core
1205,Core
1206,Core
1207,Core
1208,Core
1209,Core
1210,Core
1211,Core
1212,Core
1213,Core
1214,Core
1215,Core
1216,Core
1217,Core
1218,Core
1219,Core
1220,Core
1221,Rural
1222,Core
1223,Core
1224,Core
1225,Core
1226,Core
1227,Core
1228,Core
1229,Core
1230,Core
1231,Core
1232,Core
1233,CitiesTowns
1234,CitiesTowns
1235,Rural
1236,CitiesTowns
1237,CitiesTowns
1238,CitiesTowns
1239,Core
1240,Core
1241,Core
1242,Core
1243,Core
1244,Core
1245,Core
1246,Core
1247,Core
1248,Core
1249,Core
1250,Core
1251,Core
1252,Core
1253,Core
1254,Core
1255,Core
1256,Core
1257,Core
1258,Core
1259,Core
1260,Core
1261,Core
1262,Core
1263,Core
1264,Core
1265,Core
1266,Core
1267,Core
1268,Core
1269,Core
1270,Core
1271,Core
1272,Core
1273,Core
1274,Rural
1275,Rural
1276,Rural
1277,Rural
1278,Rural
1279,Rural
1280,Rural
1281,Rural
1282,Rural
1283,Rural
1284,Rural
1285,Rural
1286,Core
1287,Rural
1288,HCT
1289,HCT
1290,Core
1291,Core
1292,Core
1293,Core
1294,Core
1295,Core
1296,Core
1297,Core
1298,Core
1299,Core
1300,Core
1301,Core
1302,Core
1303,Core
1304,Core
1305,Core
1306,Core
1307,Core
1308,Core
1309,Core
1310,Core
1311,Core
1312,HCT
1313,HCT
1314,HCT
1315,HCT
1316,HCT
1317,Rural
1318,Rural
1319,Rural
1320,Rural
1321,Rural
1322,Rural
1323,Rural
1324,Rural
1325,Rural
1326,Rural
1327,HCT
1328,HCT
1329,HCT
1330,HCT
1331,Core
1332,HCT
