id,6to7_board,6to7_time,7to8_board,7to8_time,8to9_board,8to9_time
135,50.82391357,38.53971863,46.26276016,39.29375458,46.60638046,39.02994537
136,56.01835632,38.79685974,50.34609604,39.54961395,50.60638046,39.28785706
137,96.04631042,31.10268974,96.43855286,31.28132629,93.02157593,31.18568039
138,12.6864481,44.13379288,18.63824081,44.34962463,14.32704258,44.21666336
139,98.8633728,38.26134491,146.0738983,38.47189331,110.1634674,38.34066772
140,15.92489624,45.72025681,20.7766304,46.40481949,20.13285637,46.02791977
141,7.709019661,25.02108574,8.020174026,25.51615143,6.472568035,25.33228111
142,91.15358734,37.85232925,120.3708344,38.64834976,100.8328247,37.97552109
143,9.917675018,36.78468704,13.0877943,37.57520676,11.04450321,36.90498734
144,117.6555939,34.07397461,153.5002289,34.86334229,130.5870209,34.19414139
145,61.75903702,36.74878693,59.07895279,36.98740387,53.81375504,36.83356476
146,20.47648239,35.59265518,19.39006996,35.83971786,17.81506729,35.67821884
147,99.50338745,31.68476677,93.89437866,31.91853333,86.66033173,31.76646614
148,2.148830652,23.68047905,2.463964462,23.90306091,2.530319452,23.75602722
149,54.75600052,59.11206818,41.09864044,60.28475952,25.17490387,59.48290634
150,0.115301602,6.605817795,0.116066769,6.66204834,0.161977828,6.641395092
151,0.440636605,4.989918709,0.472106159,5.064721107,0.638118029,5.004431725
152,39.4169693,41.00500488,67.04491425,41.68919373,56.93383026,41.29388809
153,37.15307999,42.9597702,31.8125,43.39808273,33.04744339,43.21787643
154,4.408554077,17.82271767,2.579262495,17.96066284,3.758602619,17.88864517
155,280.0559692,21.26614761,299.3759766,21.73611069,188.6779785,21.24747849
156,109.5882797,31.73878098,118.7311554,32.48987579,76.48888397,31.90338135
157,70.85044098,43.03207397,99.35572815,45.43625259,96.51287842,43.75525284
158,179.3262787,33.14563751,194.2873535,33.89673615,125.1636353,33.3102417
159,74.68158722,22.14700508,79.83360291,22.61696815,50.31412506,22.12833595
160,1.529138327,22.88567352,1.847867727,23.18223,1.88822794,22.97955704
161,2.18926692,20.93362427,1.951929569,21.13511276,1.991025448,20.99362564
162,2.18926692,19.63208961,1.951929569,19.83353424,1.991025448,19.69285202
163,187.4274902,29.94851112,247.9663391,30.22948456,236.3036194,30.11584473
164,33.3204422,28.70280075,44.08289337,28.9696579,42.00953674,28.85398483
165,10.84306908,29.03247452,13.39711857,29.30881119,13.22319126,29.17621231
166,123.3609924,30.52830124,144.4246521,30.7985611,147.9513245,30.6297493
167,11.43926239,30.8818531,16.94507599,31.15148926,16.4989357,30.97471046
168,24.67219543,30.52830124,28.88492775,30.7985611,29.59026909,30.6297493
169,16.46216393,35.52183151,23.87222672,35.84897995,22.55036163,35.64677429
170,86.06687164,25.71203613,118.8428955,26.52936172,90.72914124,26.21553802
171,96.76543427,32.93132782,130.3434601,33.76023865,96.56022644,33.43434525
172,161.6860199,30.40769386,178.2829285,31.00307655,186.5733948,30.93745804
173,39.09194183,25.28939438,43.64352417,25.8811245,45.69815445,25.8169117
174,8.014986038,23.47544289,11.55608273,24.06328392,8.322823524,23.65117264
175,0,7.83775425,0.098827094,7.903193474,0.049963266,7.867257118
176,20.98488617,35.02548218,25.99745178,35.55450439,23.32486343,35.45552826
177,78.27307129,32.11217499,101.3924561,32.99849319,110.1287537,32.66032791
178,6.163442135,31.54310226,6.134167194,32.44908142,5.996682167,32.13140106
179,0.329425991,6.603680611,0.826922774,6.64253521,0.540665329,6.613066196
180,151.9590454,31.15216637,144.7311401,31.86664963,135.2001038,31.62338066
181,12.32688427,31.54310226,12.26833439,32.44908142,11.99336433,32.13140106
182,0.02688057,5.399606705,0.192086577,5.414474964,0.147233069,5.405045986
183,122.6449356,31.582407,155.5533905,31.94576836,141.2541809,31.72587967
184,180.1838989,32.04087448,217.1170959,32.28380585,185.7362518,32.13853455
185,18.27884674,24.40921021,17.35615349,24.91091919,18.37734795,24.75662422
186,11.63216114,27.46881104,18.47540092,27.87841797,16.77236366,27.60103607
187,146.3929138,27.0810585,167.0401001,27.47817802,149.4882355,27.21191788
188,32.5317688,27.0810585,37.12002945,27.47817802,33.21961212,27.21191788
189,172.0690155,28.34958839,219.952179,28.55814171,205.1398163,28.38778877
190,17.78197289,29.59440231,22.29215431,29.80295563,20.73816299,29.63260269
191,9.085016251,11.84777546,12.3205986,12.33193588,9.622833252,12.06577301
192,0.517410278,13.12568283,1.148629308,13.57816315,0.272727281,13.34463882
193,4.398422718,19.95504761,1.5177145,20.15075874,0.981164753,20.13111115
194,1.136363626,16.521101,1.379549265,16.62847328,1.071428537,16.5682373
195,11.15285969,37.76638031,12.2932291,40.26382446,7.693072319,38.44152069
196,49.75720596,49.91796112,50.65802765,52.02872467,42.28266525,50.71238708
197,24.13136482,39.60752487,25.20055389,40.86003876,19.4006443,40.07424545
198,96.51249695,51.87041473,102.5929108,54.04825592,87.76326752,52.70619202
199,5.44901228,33.55748749,6.118330479,36.04278564,3.548170328,34.22676849
200,16.34703827,32.03817749,18.35499191,34.52347565,10.64451027,32.7074585
201,43.59236145,44.80849838,42.24111176,46.38230896,31.44181442,45.45184708
202,9.095204353,50.07820511,9.021811485,51.66165161,6.937441349,50.72619247
203,86.75255585,35.78420639,103.2469635,37.67923355,98.54555511,36.49624634
204,18.13779259,28.38150787,20.7200985,29.78502846,13.3878727,28.95475388
205,19.26799202,33.65122223,22.24415398,35.06437302,15.09020805,34.22909927
206,9.246762276,33.27465439,10.01517105,34.83056641,7.20345974,33.69921875
