,i,j,ij_id,CountID,Location,LocationDetail,FacilityType,observedTot,observedMed,observedHvy,LARGE_AREA,county,lat,lon
248,175686,175658,175686-175658,108,176 ST E,E/O WALLER RD E,3,1551,1225,326,Pierce Other,Pierce,47.09670032,-122.3851038
249,176974,176976,176974-176976,109,192 ST E,W/O CANYON RD E,3,714.5,326,389,Pierce Other,Pierce,47.08183286,-122.3606817
250,176976,176974,176976-176974,109,192 ST E,W/O CANYON RD E,3,714.5,326,389,Pierce Other,Pierce,47.08183286,-122.3606817
251,178040,178056,178040-178056,110,208 ST E,W/O 66 AV E,3,125,114,11,Pierce Other,Pierce,47.06765816,-122.3475226
252,178056,178040,178056-178040,110,208 ST E,W/O 66 AV E,3,125,114,11,Pierce Other,Pierce,47.06765816,-122.3475226
253,167477,168134,167477-168134,111,214 AV E,N/O 112 ST E,3,949.6666667,891,59,Pierce Other,Pierce,47.15640769,-122.1443055
254,168134,167477,168134-167477,111,214 AV E,N/O 112 ST E,3,949.6666667,891,59,Pierce Other,Pierce,47.15640769,-122.1443055
255,152980,154241,152980-154241,112,214 AV E,N/O ISLAND PARK WAY,6,574,524,50,Pierce Other,Pierce,47.23232904,-122.1442973
256,154241,152980,154241-152980,112,214 AV E,N/O ISLAND PARK WAY,6,574,524,50,Pierce Other,Pierce,47.23232904,-122.1442973
257,162706,163430,162706-163430,113,214 AV E,N/O SUMNER-BUCKLEY HWY E,3,882,795,87,Pierce Other,Pierce,47.17920055,-122.1440762
258,163430,162706,163430-162706,113,214 AV E,N/O SUMNER-BUCKLEY HWY E,3,882,795,87,Pierce Other,Pierce,47.17920055,-122.1440762
259,173472,174104,173472-174104,114,22 AV E,N/O MILITARY RD E,3,315,282,33,Pierce Other,Pierce,47.11127776,-122.3999173
260,174104,173472,174104-173472,114,22 AV E,N/O MILITARY RD E,3,315,282,33,Pierce Other,Pierce,47.11127776,-122.3999173
261,174104,174678,174104-174678,115,22 AV E,S/O MILITARY RD E,3,438,401,37,Pierce Other,Pierce,47.10648575,-122.3999687
262,174678,174104,174678-174104,115,22 AV E,S/O MILITARY RD E,3,438,401,37,Pierce Other,Pierce,47.10648575,-122.3999687
263,178758,178767,178758-178767,116,224 ST E,E/O 90 AV E,6,1151,1043,108,Pierce Other,Pierce,47.05327457,-122.3120745
