TAZ,District,County,SeattleOrNot
728,10,King,Seattle
729,10,King,Seattle
730,10,King,Seattle
731,10,King,Seattle
732,10,King,Seattle
733,10,King,Seattle
734,10,King,Seattle
735,10,King,Seattle
736,10,King,Seattle
737,10,King,Seattle
738,10,King,Seattle
739,10,King,Seattle
740,10,King,Seattle
741,10,King,Seattle
742,10,King,Seattle
743,10,King,Seattle
744,10,King,Seattle
745,10,King,Seattle
746,10,King,Seattle
747,10,King,Seattle
748,10,King,Seattle
749,10,King,Seattle
750,10,King,Seattle
751,10,King,Seattle
752,10,King,Seattle
753,10,King,Seattle
754,10,King,Seattle
755,10,King,Seattle
756,10,King,Seattle
757,10,King,Seattle
758,10,King,Seattle
759,10,King,Seattle
760,10,King,Seattle
761,10,King,Seattle
762,10,King,Seattle
763,10,King,Seattle
764,10,King,Seattle
765,10,King,Seattle
766,10,King,Seattle
767,10,King,Seattle
768,10,King,Seattle
769,10,King,Seattle
770,10,King,Seattle
771,10,King,Seattle
772,10,King,Seattle
773,10,King,Seattle
774,10,King,Seattle
775,10,King,Seattle
776,10,King,Seattle
777,10,King,Seattle
778,10,King,Seattle
779,10,King,Seattle
780,10,King,Seattle
781,10,King,Seattle
782,10,King,Seattle
783,10,King,Seattle
784,10,King,Seattle
785,10,King,Seattle
786,10,King,Seattle
787,10,King,Seattle
788,10,King,Seattle
789,10,King,Seattle
790,10,King,Seattle
791,10,King,Seattle
792,10,King,Seattle
793,10,King,Seattle
794,10,King,Seattle
795,10,King,Seattle
796,10,King,Seattle
797,10,King,Seattle
798,10,King,Seattle
799,10,King,Seattle
800,10,King,Seattle
801,10,King,Seattle
802,10,King,Seattle
803,10,King,Seattle
804,10,King,Seattle
805,10,King,Seattle
806,10,King,Seattle
807,10,King,Seattle
808,10,King,Seattle
809,10,King,Seattle
810,10,King,Seattle
811,10,King,Seattle
812,10,King,Seattle
813,10,King,Seattle
814,10,King,Seattle
815,10,King,Seattle
816,10,King,Seattle
817,10,King,Seattle
818,10,King,Seattle
819,10,King,Seattle
820,10,King,Seattle
821,10,King,Seattle
822,10,King,Seattle
823,10,King,Seattle
824,10,King,Seattle
825,10,King,Seattle
826,10,King,Seattle
827,10,King,Seattle
828,10,King,Seattle
829,10,King,Seattle
830,10,King,Seattle
831,10,King,Seattle
832,10,King,Seattle
833,10,King,Seattle
834,10,King,Seattle
835,10,King,Seattle
836,10,King,Seattle
837,10,King,Seattle
838,10,King,Seattle
839,10,King,Seattle
840,10,King,Seattle
841,10,King,Seattle
842,10,King,Seattle
843,10,King,Seattle
844,10,King,Seattle
845,10,King,Seattle
846,10,King,Seattle
847,10,King,Seattle
848,10,King,Seattle
849,10,King,Seattle
850,10,King,Seattle
851,10,King,Seattle
852,10,King,Seattle
853,10,King,Seattle
854,10,King,Seattle
855,10,King,Seattle
856,10,King,Seattle
857,10,King,Seattle
858,10,King,Seattle
859,6,King,Not Seattle
860,6,King,Not Seattle
861,6,King,Not Seattle
862,6,King,Not Seattle
863,6,King,Not Seattle
864,6,King,Not Seattle
865,6,King,Not Seattle
866,6,King,Not Seattle
867,6,King,Not Seattle
868,6,King,Not Seattle
869,6,King,Not Seattle
870,6,King,Not Seattle
871,6,King,Not Seattle
872,6,King,Not Seattle
873,6,King,Not Seattle
874,6,King,Not Seattle
875,6,King,Not Seattle
876,6,King,Not Seattle
877,6,King,Not Seattle
878,6,King,Not Seattle
879,6,King,Not Seattle
880,6,King,Not Seattle
881,6,King,Not Seattle
882,6,King,Not Seattle
883,6,King,Not Seattle
884,6,King,Not Seattle
885,6,King,Not Seattle
886,6,King,Not Seattle
887,6,King,Not Seattle
888,6,King,Not Seattle
889,6,King,Not Seattle
890,6,King,Not Seattle
891,6,King,Not Seattle
892,6,King,Not Seattle
893,6,King,Not Seattle
894,6,King,Not Seattle
895,6,King,Not Seattle
896,6,King,Not Seattle
897,6,King,Not Seattle
898,6,King,Not Seattle
899,6,King,Not Seattle
900,6,King,Not Seattle
901,6,King,Not Seattle
902,6,King,Not Seattle
903,6,King,Not Seattle
904,6,King,Not Seattle
905,6,King,Not Seattle
906,6,King,Not Seattle
907,6,King,Not Seattle
908,6,King,Not Seattle
909,6,King,Not Seattle
910,6,King,Not Seattle
911,6,King,Not Seattle
912,6,King,Not Seattle
913,6,King,Not Seattle
914,6,King,Not Seattle
915,6,King,Not Seattle
916,6,King,Not Seattle
917,6,King,Not Seattle
918,6,King,Not Seattle
919,6,King,Not Seattle
920,6,King,Not Seattle
921,6,King,Not Seattle
922,6,King,Not Seattle
923,6,King,Not Seattle
924,6,King,Not Seattle
925,6,King,Not Seattle
926,6,King,Not Seattle
927,6,King,Not Seattle
928,6,King,Not Seattle
929,6,King,Not Seattle
930,6,King,Not Seattle
931,6,King,Not Seattle
