coefficient_name,value,constrain
joint_walk_ASC_no_auto_all,4.168099743444008,F
joint_walk_ASC_auto_deficient_all,4.476798406708668,F
joint_walk_ASC_auto_sufficient_all,1.4467373032807709,F
joint_bike_ASC_no_auto_all,1.32158892302031,F
joint_bike_ASC_auto_deficient_all,0.13279259770550575,F
joint_bike_ASC_auto_sufficient_all,-1.625855315267619,F
joint_sr2_ASC_no_auto_all,-12.811394646268644,F
joint_sr2_ASC_auto_deficient_all,4.562938389797035,F
joint_sr2_ASC_auto_sufficient_all,2.2442491544673944,F
joint_sr3p_ASC_no_auto_all,-0.879889819660424,F
joint_sr3p_ASC_auto_deficient_all,3.57613799739481,F
joint_sr3p_ASC_auto_sufficient_all,1.2057648410513508,F
joint_walk_transit_ASC_no_auto_all,3.005818449208096,F
joint_walk_transit_ASC_auto_deficient_all,-0.5914275174969091,F
joint_walk_transit_ASC_auto_sufficient_all,-1.884489208672438,F
joint_drive_transit_ASC_no_auto_all,0.0,F
joint_drive_transit_ASC_auto_deficient_all,-14.985834391722378,F
joint_drive_transit_ASC_auto_sufficient_all,-1.4365147750760687,F
joint_taxi_ASC_no_auto_all,0.0,F
joint_taxi_ASC_auto_deficient_all,0.0,F
joint_taxi_ASC_auto_sufficient_all,0.0,F
joint_tnc_single_ASC_no_auto_all,5.195777310258614,F
joint_tnc_single_ASC_auto_deficient_all,2.8285945275808735,F
joint_tnc_single_ASC_auto_sufficient_all,0.050108002199335186,F
joint_tnc_shared_ASC_no_auto_all,0.0,F
joint_tnc_shared_ASC_auto_deficient_all,0.0,F
joint_tnc_shared_ASC_auto_sufficient_all,0.0,F
local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.0,T
local_bus_ASC_school_univ,0.0,T
local_bus_ASC_work,0.0,T
walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.0,T
walk_light_rail_ASC_school_univ,0.0,T
walk_light_rail_ASC_work,-0.2522973687548364,F
walk_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,2.9204213525598313,F
walk_ferry_ASC_school_univ,0.0,T
walk_ferry_ASC_work,2.025856907407617,F
commuter_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.0,T
commuter_rail_ASC_school_univ,0.0,T
commuter_rail_ASC_work,0.7197407461950334,F
walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.0,T
walk_transit_CBD_ASC_school_univ,0.0,T
walk_transit_CBD_ASC_work,0.0,T
walk_transit_CBD_ASC_atwork,0.0,T
drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.0,T
drive_transit_CBD_ASC_school_univ,0.0,T
drive_transit_CBD_ASC_work,0.0,T
drive_transit_CBD_ASC_atwork,0.0,T
coef_age0105_schb_school,0.0,T
coef_age0612_schb_school,1.9350655990955905,F
coef_age1315_schb_school,1.9324032694876994,F
coef_female_schb_school,0.0,T
