vehicle_type,body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Motorcycle_13_Gas,Motorcycle,Gas,2013,0,0,0.0,0,7700.13,24.0,0.0
Motorcycle_14_Gas,Motorcycle,Gas,2012,0,0,0.0,0,7315.12,24.0,0.0
Motorcycle_15_Gas,Motorcycle,Gas,2011,0,0,0.0,0,6949.37,24.0,0.0
Motorcycle_16_Gas,Motorcycle,Gas,2010,0,0,0.0,0,6601.9,24.0,0.0
Motorcycle_17_Gas,Motorcycle,Gas,2009,0,0,0.0,0,6271.81,24.0,0.0
Motorcycle_18_Gas,Motorcycle,Gas,2008,0,0,0.0,0,5958.21,24.0,0.0
Motorcycle_19_Gas,Motorcycle,Gas,2007,0,0,0.0,0,5660.3,24.0,0.0
Motorcycle_0_Hybrid,Motorcycle,Hybrid,2026,0,0,0.0,0,17250.0,24.0,0.0
Motorcycle_1_Hybrid,Motorcycle,Hybrid,2025,0,0,0.0,0,16387.5,24.0,0.0
Motorcycle_2_Hybrid,Motorcycle,Hybrid,2024,0,0,0.0,0,15568.12,24.0,0.0
Motorcycle_3_Hybrid,Motorcycle,Hybrid,2023,0,0,0.0,0,14789.72,24.0,0.0
Motorcycle_4_Hybrid,Motorcycle,Hybrid,2022,0,0,0.0,0,14050.23,24.0,0.0
Motorcycle_5_Hybrid,Motorcycle,Hybrid,2021,0,0,0.0,0,13347.72,24.0,0.0
Motorcycle_6_Hybrid,Motorcycle,Hybrid,2020,0,0,0.0,0,12680.34,24.0,0.0
Motorcycle_7_Hybrid,Motorcycle,Hybrid,2019,0,0,0.0,0,12046.32,24.0,0.0
Motorcycle_8_Hybrid,Motorcycle,Hybrid,2018,0,0,0.0,0,11444.0,24.0,0.0
Motorcycle_9_Hybrid,Motorcycle,Hybrid,2017,0,0,0.0,0,10871.8,24.0,0.0
Motorcycle_10_Hybrid,Motorcycle,Hybrid,2016,0,0,0.0,0,10328.21,24.0,0.0
Motorcycle_11_Hybrid,Motorcycle,Hybrid,2015,0,0,0.0,0,9811.8,24.0,0.0
Motorcycle_12_Hybrid,Motorcycle,Hybrid,2014,0,0,0.0,0,9321.21,24.0,0.0
Motorcycle_13_Hybrid,Motorcycle,Hybrid,2013,0,0,0.0,0,8855.15,24.0,0.0
Motorcycle_14_Hybrid,Motorcycle,Hybrid,2012,0,0,0.0,0,8412.39,24.0,0.0
Motorcycle_15_Hybrid,Motorcycle,Hybrid,2011,0,0,0.0,0,7991.77,24.0,0.0
Motorcycle_16_Hybrid,Motorcycle,Hybrid,2010,0,0,0.0,0,7592.19,24.0,0.0
Motorcycle_17_Hybrid,Motorcycle,Hybrid,2009,0,0,0.0,0,7212.58,24.0,0.0
Motorcycle_18_Hybrid,Motorcycle,Hybrid,2008,0,0,0.0,0,6851.95,24.0,0.0
Motorcycle_19_Hybrid,Motorcycle,Hybrid,2007,0,0,0.0,0,6509.35,24.0,0.0
Motorcycle_0_PEV,Motorcycle,PEV,2026,0,0,0.0,0,18750.0,24.0,0.0
Motorcycle_1_PEV,Motorcycle,PEV,2025,0,0,0.0,0,17812.5,24.0,0.0
Motorcycle_2_PEV,Motorcycle,PEV,2024,0,0,0.0,0,16921.88,24.0,0.0
Motorcycle_3_PEV,Motorcycle,PEV,2023,0,0,0.0,0,16075.78,24.0,0.0
Motorcycle_4_PEV,Motorcycle,PEV,2022,0,0,0.0,0,15271.99,24.0,0.0
Motorcycle_5_PEV,Motorcycle,PEV,2021,0,0,0.0,0,14508.39,24.0,0.0
Motorcycle_6_PEV,Motorcycle,PEV,2020,0,0,0.0,0,13782.97,24.0,0.0
Motorcycle_7_PEV,Motorcycle,PEV,2019,0,0,0.0,0,13093.82,24.0,0.0
Motorcycle_8_PEV,Motorcycle,PEV,2018,0,0,0.0,0,12439.13,24.0,0.0
Motorcycle_9_PEV,Motorcycle,PEV,2017,0,0,0.0,0,11817.18,24.0,0.0
Motorcycle_10_PEV,Motorcycle,PEV,2016,0,0,0.0,0,11226.32,24.0,0.0
Motorcycle_11_PEV,Motorcycle,PEV,2015,0,0,0.0,0,10665.0,24.0,0.0
Motorcycle_12_PEV,Motorcycle,PEV,2014,0,0,0.0,0,10131.75,24.0,0.0
Motorcycle_13_PEV,Motorcycle,PEV,2013,0,0,0.0,0,9625.16,24.0,0.0
Motorcycle_14_PEV,Motorcycle,PEV,2012,0,0,0.0,0,9143.91,24.0,0.0
Motorcycle_15_PEV,Motorcycle,PEV,2011,0,0,0.0,0,8686.71,24.0,0.0
Motorcycle_16_PEV,Motorcycle,PEV,2010,0,0,0.0,0,8252.38,24.0,0.0
Motorcycle_17_PEV,Motorcycle,PEV,2009,0,0,0.0,0,7839.76,24.0,0.0
Motorcycle_18_PEV,Motorcycle,PEV,2008,0,0,0.0,0,7447.77,24.0,0.0
Motorcycle_19_PEV,Motorcycle,PEV,2007,0,0,0.0,0,7075.38,24.0,0.0
Pickup_0_BEV,Pickup,BEV,2026,4,36,75.5,342,70000.0,12.7,0.0
Pickup_1_BEV,Pickup,BEV,2025,5,41,73.1,335,66500.0,12.92,0.0
Pickup_2_BEV,Pickup,BEV,2024,4,33,69.4,324,63175.0,13.28,0.0
Pickup_3_BEV,Pickup,BEV,2023,3,11,69.5,303,60016.25,13.27,0.0
Pickup_4_BEV,Pickup,BEV,2022,2,4,68.5,291,57015.44,13.38,0.0
Pickup_5_BEV,Pickup,BEV,2021,0,0,75.9,0,54164.67,12.66,0.0
Pickup_6_BEV,Pickup,BEV,2020,0,0,77.2,0,51456.43,12.55,0.0
Pickup_7_BEV,Pickup,BEV,2019,0,0,77.3,0,48883.61,12.54,0.0
Pickup_8_BEV,Pickup,BEV,2018,0,0,78.0,0,46439.43,12.48,0.0
Pickup_9_BEV,Pickup,BEV,2017,0,0,77.5,0,44117.46,12.52,0.0
Pickup_10_BEV,Pickup,BEV,2016,0,0,77.3,0,41911.59,12.54,0.0
Pickup_11_BEV,Pickup,BEV,2015,0,0,77.7,0,39816.01,12.5,0.0
Pickup_12_BEV,Pickup,BEV,2014,0,0,71.6,0,37825.21,13.06,0.0
Pickup_13_BEV,Pickup,BEV,2013,0,0,70.7,0,35933.95,13.15,0.0
Pickup_14_BEV,Pickup,BEV,2012,0,0,72.5,0,34137.25,12.97,0.0
Pickup_15_BEV,Pickup,BEV,2011,0,0,72.3,0,32430.39,13.0,0.0
Pickup_16_BEV,Pickup,BEV,2010,0,0,71.8,0,30808.87,13.04,0.0
Pickup_17_BEV,Pickup,BEV,2009,0,0,70.4,0,29268.42,13.18,0.0
Pickup_18_BEV,Pickup,BEV,2008,0,0,68.0,0,27805.0,13.43,0.0
Pickup_19_BEV,Pickup,BEV,2007,0,0,67.6,0,26414.75,13.48,0.0
Pickup_0_Diesel,Pickup,Diesel,2026,2,10,23.0,598,55000.0,25.22,444.8
Pickup_1_Diesel,Pickup,Diesel,2025,2,8,23.1,601,52250.0,25.15,444.7
Pickup_2_Diesel,Pickup,Diesel,2024,2,8,22.8,593,49637.5,25.35,449.1
Pickup_3_Diesel,Pickup,Diesel,2023,4,9,24.0,624,47155.62,24.58,426.6
Pickup_4_Diesel,Pickup,Diesel,2022,4,16,23.4,608,44797.84,24.95,434.82
Pickup_5_Diesel,Pickup,Diesel,2021,5,16,23.8,619,42557.95,24.7,429.19
Pickup_6_Diesel,Pickup,Diesel,2020,4,16,23.7,616,40430.05,24.78,430.56
Pickup_7_Diesel,Pickup,Diesel,2019,4,12,22.6,588,38408.55,25.5,450.25
Pickup_8_Diesel,Pickup,Diesel,2018,4,12,23.2,603,36488.12,25.11,444.25
Pickup_9_Diesel,Pickup,Diesel,2017,3,7,23.0,598,34663.72,25.22,448.43
