CountID,CountID_Type,obs_20to5,obs_5to6,obs_6to7,obs_7to8,obs_8to9,obs_9to10,obs_10to14,obs_14to15,obs_15to16,obs_16to17,obs_17to18,obs_18to20,obs_total
45,45H,1137,303,528,586,552,565,2599,886,1171,1192,1050,1315,11884
35,35G,11767,2979,4269,4119,3958,3814,16719,4932,5076,4939,4691,7697,74960
45,45G,19352,3636,6026,6655,5912,5544,23287,6564,6671,6356,6155,11158,107316
89,89H,850,43,133,215,203,253,1655,769,969,961,823,952,7826
91,91G,14542,5549,6723,6283,5486,5056,19809,5123,4983,4985,4888,7713,91140
85,85G,14979,1543,3005,4020,3786,3719,18618,7236,7402,7437,6927,10184,88856
101,101G,12746,1567,2603,3500,3502,3386,17110,6163,5569,5272,4966,8571,74955
88,88G,11838,5883,5228,4770,4705,4373,16345,4170,4274,4497,4378,6028,76489
8,8G,11256,4397,5582,4942,5038,5308,18526,4629,4530,4601,4618,7394,80821
11,11H,648,13,60,110,104,96,1108,662,1147,1331,1264,1268,7811
174,174H,743,24,91,159,156,140,1314,717,1268,1473,1392,1440,8917
104,104G,9532,3891,4287,4447,3570,3274,13307,3611,3597,3630,3459,4790,61395
12,12G,12511,4652,6809,6708,6507,6235,21076,5115,4989,4749,4751,8050,92152
76,76G,15440,1699,3222,4450,4218,3845,18870,7427,7118,6784,6440,10207,89720
92,92H,740,562,1410,1220,1022,779,2147,630,796,853,873,881,11913
114,114G,10930,4446,4884,4269,4472,4537,17828,5049,5297,5278,5074,6966,79030
122,122G,12396,5388,5424,5018,4878,4582,17617,4686,4871,5135,4873,6505,81373
140,140H,1029,69,171,253,247,276,1969,898,1305,1378,1263,1528,10386
12,12H,259,471,1165,1279,1129,765,1297,255,281,301,292,331,7825
156,156G,16329,1962,3598,5095,5101,5195,20218,5626,6192,5832,5557,10230,90935
125,125G,15381,1542,2969,4025,3858,3747,18652,7126,7031,6961,6629,10162,88083
135,135G,13268,4469,6132,5158,4397,4426,18535,5156,5168,5015,4518,7347,83589
116,116G,10044,4256,4684,3809,4158,4365,16410,4598,4734,4747,4644,6714,73163
103,103H,980,70,156,236,265,304,2002,845,1099,1124,1013,1382,9476
115,115H,871,39,127,189,184,188,1429,651,1038,1119,1053,1257,8145
31,31H,1140,64,135,185,160,176,1825,860,1084,1090,975,1237,8931
133,133G,15502,2731,4527,5475,5499,5654,20932,5543,5992,5823,5463,9457,92598
33,33G,10387,1952,3045,3181,2944,2822,12429,3486,3575,3451,3304,5863,56439
86,86H,1051,49,141,225,221,280,1887,954,1248,1298,1140,1249,9743
67,67G,13339,4465,5858,5404,4725,4545,18200,4778,4695,4679,4485,7241,82414
5,5H,842,28,111,173,165,158,1390,733,1308,1472,1363,1490,9233
97,97H,750,496,957,644,524,485,1942,588,783,864,810,782,9625
102,102G,13601,5532,5634,5359,4815,4564,19827,5470,5278,5470,5539,6898,87987
46,46G,15859,4135,5603,4905,4682,4677,22054,6100,6064,5650,5157,9324,94210
180,180G,8301,2068,2444,2579,2304,2464,11099,2790,2753,2744,2693,4245,46484
89,89G,12393,1514,2922,3931,3627,3440,16585,6227,6438,6244,5675,8545,77541
75,75G,13391,6426,6861,6655,6258,5711,20736,5470,5449,5654,5511,7642,95764
4,4G,11034,4424,5302,4512,4620,5013,18054,4672,4587,4702,4728,7352,79000
127,127G,15426,1563,3006,4327,4163,3716,18718,6539,7161,6569,6226,10842,88256
105,105G,9758,4000,4208,4161,3355,3111,12575,3428,3339,3391,3259,4524,59109
